Link,Title,Location,Salary,Summary
https://kr.indeed.com/viewjob?jk=c0574107a4de85c1,로데슈바르즈코리아 연구소 개발자,서울 강남구,,"소프트웨어 개발 혹은 시스템 통합 경험을 보유하신 분으로 경력 1년 ~ 3년ㆍ프로그래밍 언어 C/C++, Pythonㆍ적극적으로 동료들과 소통하고 책임감이 있는 분ㆍ새로운 기술 습득에 열정이 있으신 분ㆍ비지니스 수준의 영어..."
https://kr.indeed.com/viewjob?jk=40242ac4ad660d9e,"AI개발, 웹개발(Django) 외 신입/경력 정규직, 계약직",서울 마포구,,인터넷·IT·통신·모바일·게임>웹프로그래머>웹개발|인터넷·IT·통신·모바일·게임>웹프로그래머> Python|인터넷·IT·통신·모바일·게임>빅데이터·AI(인공지능)>인공지능(AI)|인터넷·IT·통신·모바일·게임>웹디자인>UI...
https://kr.indeed.com/viewjob?jk=f0db02b55ac0f284,A.I 인공지능 개발 경력직,서울 송파구,,파이프트리 스마트팜 A.I 개발 경력직 채용 공고 인터넷·IT·통신·모바일·게임>빅데이터·AI(인공지능)> Python|인터넷·IT·통신·모바일·게임>빅데이터·AI(인공지능)>R|인터넷·IT·통신·모바일·게임>빅데이터·AI...
https://kr.indeed.com/viewjob?jk=1d89fe4b37ab05ed,"데이터마이닝, 빅데이터 큐레이터 외 신입/경력 정규직",서울 강남구,,"있거나 이에 준하는 실질적인 기술 경력 -데이터를 다루기 위한 Python 혹은 R 등의 프로그래밍 능력 -SQL의 사용 능력 -데이터를 다루기 위한 Python, R, Java 중 1개의 프로그래밍 능력 -대용량 데이터..."
https://kr.indeed.com/viewjob?jk=dbe0729882fd8763,소프트웨어 개발자 신입 / 경력직 채용,서울 가락동,,"무관 [우대사항] - Java, JavaScript, C#, C++, Spring, Oracle, Python 등 개발 프로그램 사용 가능자 - 컴퓨터공학 전공 - 해당업무 근무경험 - 컴퓨터활용 우수자 - 관련 자격..."
https://kr.indeed.com/viewjob?jk=ea2ab43c3a607fb1,Python 기반 빅데이터 처리 개발자,서울 서초구,,인터넷·IT·통신·모바일·게임>웹프로그래머> Python|인터넷·IT·통신·모바일·게임>응용프로그래머> Python|인터넷·IT·통신·모바일·게임>통신·모바일>플랫폼(VM)
https://kr.indeed.com/viewjob?jk=027a30e28217ff16,Controlling (관리회계 및 재무기획) 외국계 부품회사,경기도 이천,,"경험자 우대 (CO / PS / MM…) - 데이터 분석 툴 또는 시각화 툴 경험자 우대 e.g. R, Python, Power BI and KNIME - 비즈니스 영어 가능자 우대 - 졸업예정자 지원 가능 (사원 ~ 주임..."
https://kr.indeed.com/viewjob?jk=4cd34228af5013fd,DGIST 2019년 제1차 계약직원 공개채용 공고,대구 현풍면,,"우수자(SPSS, R 등 통계패키지) 외국어(영어) 구사 능력 우수자 Programming(MATLAB, Python, C/C++ 등) 가능자 · 근무기간 : 2019.3.11.~2020.3.10. ※ 단, 재계약 평가에..."
https://kr.indeed.com/viewjob?jk=140254d1a470d1c9,11번가 검색서비스 개발 분야,서울 강남구,,"처리데이터 저장 daemon 및 데이터 api 개발 운영자격 요건대용량 Redis data 운영 경험있으신분 python / java / oracle, mySql DB 에 능숙하신분고성능 / 대용량 트래픽 처리하는 시스템 개발..."
https://kr.indeed.com/viewjob?jk=3822d1c0cf5cb8db,BackEnd Engineer,서울,"연봉 50,000,000원 - 150,000,000원","Javascript, Java, Python 중 적어도 하나 이상의 경험을... 구축을 경험하신 분 * Modern Javascript, Java, Python 중 하나 이상에 탁월한 능력을 지닌 분 * AWS 상에서 제품을 구축..."
https://kr.indeed.com/viewjob?jk=7138626d136ea1f5,[연구개발 부문] 연구원 (MCU 계측제어설계/머신비전/이미지프로세싱),경기도 광명,"연봉 42,000,000원 - 46,000,000원","프로그래밍 가능자 우대S/W 설계 부문 : - OPEN CV, TENSORFLOW, YOLO, CUDA/ Python, C++, C WindowsGUL APL, MFC Lib 활용 가능자. 머신비전/ 영상처리 개발자* 전기..."
https://kr.indeed.com/viewjob?jk=d6f30962332942d8,2021년 하반기 수시채용,성남 삼평동,,"Language 필수, Python 가능 - Image Processing... 설계, System-Verilog 및 UVM 설계 - C/C++, Python 가능, Timing report 분석 가능(DC, PT) 0명 판교..."
https://kr.indeed.com/viewjob?jk=e25431d3416ea9c3,Application Engineer - IP Validation,경기도 성남,,"programming and scripting languages (one or more of: Python [preferred], Perl, Tcl, Shell-based) Being familiar with OOP..."
https://kr.indeed.com/viewjob?jk=02940982fdf7f78d,블록체인 센터 시스템 엔지니어 (경력),대한민국,,"갖춘 분 - Docker / Git 등 관리 툴 사용 경험이 있는 분 - Shell(Bash,Zsh), Python, Perl 등을 이용한 스크립트 개발 경험이 있는 분 우대사항 - 블록체인 서비스를 사용하거나 블록체..."
https://kr.indeed.com/viewjob?jk=e8fe40f69a635b59,[대형증권사] 파생퀀트,서울 강남구,,통신·모바일·게임>웹프로그래머>JAVA|인터넷·IT·통신·모바일·게임>웹프로그래머>프론트엔드|인터넷·IT·통신·모바일·게임>웹프로그래머> Python|인터넷·IT·통신·모바일·게임>웹프로그래머>HTML·DHTML·mHTML
